longitude,latitude,SAUID,SAFIELD000,SAFIELD001,SAFIELD002,SAFIELD003,SAFIELD004,SAFIELD005,SAFIELD006,SAFIELD007,SAFIELD008,SAFIELD009,SAFIELD010
138.9975562,37.71793442,1711,茨曽根地域生活センター,茨曽根3443番地,025-375-2035,025-375-2035,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549325,81,61690
139.0130279,37.75448322,1715,諏訪木保育園,白根水道町10番地35,025-372-2628,025-372-2628,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549321,146,61410
139.0176275,37.71283517,1737,白南中学校,茨曽根7619番地,025-375-1250,025-375-1255,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549295,1613,61240
138.9997388,37.71816595,1746,茨曽根小学校,茨曽根1432番地１,025-375-2119,025-375-1530,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549285,768,61030
139.0883321,37.73311228,1584,小須戸温泉健康センター,天ヶ沢498番地１,0250-38-5800, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549469,123,52030
139.076544,37.75328199,1586,小須戸幼稚園,横川浜527番地１,0250-38-2670, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549467,204,51570
139.0841135,37.73173573,1587,鎌倉地域研修センター,鎌倉273番地１,0250-38-2907, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549466,73,52220
139.0683155,37.74194678,1589,ワークセンターほほえみ,小向1744番地,0250-38-3015,0250-38-3015,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549464,44,52050
139.0715855,37.75566923,1592,小須戸地区公民館,小須戸117番地１,0250-38-2234, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549461,1581,52720
139.0911451,37.74049518,1593,小須戸地区ふれあい会館,矢代田35番地,0250-38-3151, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549460,306,52040
139.0772354,37.75297081,1594,小須戸武道館,横川浜239番地１,0250-38-2121,0250-38-2121,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549459,247,51840
139.0761938,37.75254764,1595,小須戸体育館,横川浜526番地２, , ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549458,651,51830
139.0750063,37.75280844,1596,小須戸中学校,横川浜526番地１,0250-38-2133,0250-38-4100,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549457,1519,51260
139.0926863,37.73949845,1597,矢代田小学校,矢代田5596番地,0250-38-2233,0250-38-2204,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549456,904,51130
139.0719706,37.75219167,1598,小須戸小学校,横川浜541番地１,0250-38-3500,0250-38-3501,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549455,1564,51120
139.0327908,37.74770868,1709,小林地域生活センター,下木山613番地,025-372-3033,025-372-3033,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549328,85,61680
139.0410014,37.71885596,1710,庄瀬地域生活センター,庄瀬6489番地,025-372-2901,025-372-2901,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549327,102,61660
139.0308978,37.75498156,1745,小林小学校,浦梨215番地１,025-372-2437,025-372-2450,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,5549287,874,61050
139.0426137,37.72169344,1891,庄瀬小学校,菱潟新田193番地,025-372-2909, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,白根地区,屋内,南区,397,991,61040
139.1018175,37.75472095,1535,新津南高等学校,矢代田3200番地１,0250-38-2912,0250-38-5424,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,秋葉区,屋内,秋葉区,9326921,863,51330
139.0949615,37.7503027,1590,矢代田保育園,矢代田1237番地１,0250-38-2269,0250-38-5294,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,小須戸地区,屋内,秋葉区,5549463,109,51650
139.1121708,37.74914413,1716,石油の里公園観光物産館,金津1193番地,0250-22-6911,0250-22-6910,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,新津地区,屋内,秋葉区,5549319,89,52310
138.8145139,37.77122348,1633,巻ふるさと会館,五ヶ浜2237,0256-78-2211, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549415,166,82230
138.8815838,37.75863036,1527,西蒲高等特別支援学校,堀山新田51－１,0256-72-2049,0256-72-1718,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549407,509,81330
138.8316843,37.76006292,1550,じょんのび館,福井4067,0256-72-4126,0256-72-1126,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549509,242,82220
138.8647171,37.75706655,1630,峰岡公民館,鷲ノ木1633-9,0256-73-4055, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549419,119,81760
138.8833558,37.76401785,1631,巻やすらぎ会館,巻甲121－１,0256-72-7120, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549417,133,82240
138.8887562,37.75924108,1632,巻保育園,巻甲2644,0256-72-3356,0256-72-3356,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549416,229,81580
138.8284168,37.75934177,1634,巻農村環境改善センター,福井3975番地１,0256-72-8848, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549414,454,82070
138.884091,37.75882711,1636,巻文化会館・巻地区公民館,巻甲635,0256-72-3329,0256-73-4746,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549412,2977,82120
138.8835383,37.7589893,1638,巻体育館,巻甲647,0256-72-0050, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549409,732,81910
138.8808011,37.76285702,1640,巻高等学校,巻乙30－１,0256-72-2351,0256-73-4424,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549406,964,81320
138.8317586,37.75942053,1642,角田山自然館,福井4067,0256-73-4817, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549403,151,82210
138.8753977,37.78063567,1643,かきの実保育園,仁箇1443-1,0256-72-0770, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549402,151,81560
138.8790676,37.77560183,1647,巻西中学校,仁箇42－１,0256-72-3387,0256-72-8985,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549398,2166,81250
138.8783348,37.79633008,1648,松野尾小学校,松野尾690,0256-72-2811,0256-72-2907,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549397,957,81150
138.8772013,37.76468412,1651,巻北小学校,竹野町163,0256-72-6131,0256-72-6132,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,5549394,1749,81120
138.8761353,37.79912018,1894,新潟市松野尾地域コミュニティセンター,西蒲区松野尾２８５２番地３,0256-78-8893, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,巻地区,屋内,西蒲区,400,128,82280
138.912964,37.78755411,1557,西川だいろの家,松崎73,0256-88-7610, ,避難所に指定しています。　・災害により住居を失った方を受入れ、保護するために市が指定した施設です。避難所開設は市の職員などが施設の安全を確認して行います。　・開設前に自主的に避難した場合は、市役所（電話228-1000）へご連絡をお願いします。,西川地区,屋内,西蒲区,5549500,33,82260
